what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1342404610746
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342404611005
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342404611040
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1342404611156
error,log,,,"The project description file (.project) for 'addingtonavfdemo-android' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1342404614588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342404614654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342404620831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342404622473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342404696269
error,log,,,"The project description file (.project) for 'addingtonavfdemo-android' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1342404697952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342404697984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342404699205
error,log,,,"The project description file (.project) for 'addingtonavfdemo-android' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1342404700482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342404700516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342404701797
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342404707236
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1342404707730
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1342404707730
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1342404707730
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1342404707730
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1342404707731
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1342404707732
stopped,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1342404707759
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1342404707760
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1342404707760
stopped,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1342404707761
stopped,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1342404707761
stopped,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1342404707762
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1342404707770
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1342405122486
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1342405122487
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1342405122487
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1342405122488
